zaman,istasyon,sicaklik_C,basinc_bar,titresim_mm,durum
2026-06-01T08:00:00,IST-01,72.4,4.2,0.12,normal
2026-06-01T09:00:00,IST-01,73.1,4.3,0.14,normal
2026-06-01T10:00:00,IST-01,74.8,4.3,0.15,normal
2026-06-01T11:00:00,IST-01,75.2,4.4,0.18,normal
2026-06-01T12:00:00,IST-01,98.6,4.9,0.41,uyari
2026-06-01T13:00:00,IST-01,76.0,4.4,0.19,normal
2026-06-01T14:00:00,IST-01,75.5,4.3,0.17,normal
2026-06-02T08:00:00,IST-02,68.2,3.9,0.09,normal
2026-06-02T09:00:00,IST-02,69.0,3.9,0.10,normal
2026-06-02T10:00:00,IST-02,70.3,4.0,0.11,normal
2026-06-02T11:00:00,IST-02,71.1,4.0,0.12,normal
2026-06-02T12:00:00,IST-02,71.8,4.1,0.13,normal
2026-06-02T13:00:00,IST-02,72.0,4.1,0.13,normal
2026-06-03T08:00:00,IST-03,80.5,4.6,0.22,normal
2026-06-03T09:00:00,IST-03,81.2,4.7,0.24,normal
2026-06-03T10:00:00,IST-03,110.3,5.4,0.63,kritik
2026-06-03T11:00:00,IST-03,82.0,4.7,0.25,normal
2026-06-03T12:00:00,IST-03,81.7,4.6,0.23,normal
